(robot_env) ragnar@Ragnar:~/Desktop/robot $ python robot_client.py --server ws://193.169.240.11:8080                 2025-06-22 15:23:33,897 - asyncio - DEBUG - Using selector: EpollSelector
2025-06-22 15:23:43,439 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:43,458 - robot_video - DEBUG - 🎧 Ожидание сообщения (таймаут #9)...
2025-06-22 15:23:43,517 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:43,522 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:43,601 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:43,606 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:43,665 - robot_video - DEBUG - 🎥 Кадр #11 захвачен: True
2025-06-22 15:23:43,666 - robot_video - DEBUG - 🎨 Кодируем кадр #11...
2025-06-22 15:23:43,670 - robot_video - DEBUG - 🎨 Кадр #11 закодирован: True
2025-06-22 15:23:43,670 - robot_video - DEBUG - 🎬 Кадр #7 добавлен в очередь
2025-06-22 15:23:43,670 - robot_video - DEBUG - 🎥 Захватываем кадр #12...
2025-06-22 15:23:43,685 - robot_video - DEBUG - 🎬 Получен кадр из очереди: #6
2025-06-22 15:23:43,691 - websockets.client - DEBUG - > TEXT 'VIDEO_FRAME!{"type": "video_frame", "data": "/9...714, "frame_number": 6}' [32507 bytes]
2025-06-22 15:23:43,702 - robot_video - DEBUG - 📤 Отправлен кадр #6 (32507 байт)
2025-06-22 15:23:43,780 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:43,786 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:43,864 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:43,870 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:43,948 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:43,954 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:44,032 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:44,038 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:44,116 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:44,122 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:44,200 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:44,206 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:44,284 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:44,289 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:44,368 - robot_video - INFO - 🔄 Цикл видео: итерация 61, ошибок подряд: 7
2025-06-22 15:23:44,373 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:44,379 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:44,457 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:44,463 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:44,468 - robot_video - INFO - ⏰ Таймаут ожидания сообщений: 10 секунд
2025-06-22 15:23:44,474 - robot_video - DEBUG - 🎧 Ожидание сообщения (таймаут #10)...
2025-06-22 15:23:44,540 - robot_video - DEBUG - 📭 Очередь кадров пуста
2025-06-22 15:23:44,541 - robot_video - DEBUG - Нет кадров для отправки
2025-06-22 15:23:44,541 - robot_video - ERROR - ❌ Слишком много ошибок отправки видео подряд: 10
2025-06-22 15:23:44,541 - robot_video - DEBUG - 🎥 Кадр #12 захвачен: True
2025-06-22 15:23:44,541 - robot_video - DEBUG - 🎨 Кодируем кадр #12...
2025-06-22 15:23:44,546 - robot_video - DEBUG - 🎨 Кадр #12 закодирован: True
2025-06-22 15:23:44,546 - robot_video - DEBUG - 🎬 Кадр #8 добавлен в очередь
2025-06-22 15:23:44,546 - robot_video - DEBUG - 🎥 Захватываем кадр #13...
2025-06-22 15:23:45,403 - robot_video - DEBUG - 🎥 Кадр #13 захвачен: True
2025-06-22 15:23:45,403 - robot_video - DEBUG - 🎨 Кодируем кадр #13...
2025-06-22 15:23:45,407 - robot_video - DEBUG - 🎨 Кадр #13 закодирован: True
2025-06-22 15:23:45,408 - robot_video - DEBUG - 🎬 Кадр #9 добавлен в очередь
2025-06-22 15:23:45,408 - robot_video - DEBUG - 🎥 Захватываем кадр #14...
2025-06-22 15:23:45,485 - robot_video - DEBUG - 🎧 Ожидание сообщения (таймаут #11)...
2025-06-22 15:23:46,270 - robot_video - DEBUG - 🎥 Кадр #14 захвачен: True
2025-06-22 15:23:46,270 - robot_video - DEBUG - 🎨 Кодируем кадр #14...
2025-06-22 15:23:46,274 - robot_video - DEBUG - 🎨 Кадр #14 закодирован: True
2025-06-22 15:23:46,274 - robot_video - DEBUG - 📦 Очередь кадров полная, пропускаем кадр
2025-06-22 15:23:46,274 - robot_video - DEBUG - 🎥 Захватываем кадр #15...
2025-06-22 15:23:46,496 - robot_video - DEBUG - 🎧 Ожидание сообщения (таймаут #12)...
2025-06-22 15:23:47,134 - robot_video - DEBUG - 🎥 Кадр #15 захвачен: True
2025-06-22 15:23:47,134 - robot_video - DEBUG - 🎨 Кодируем кадр #15...
2025-06-22 15:23:47,138 - robot_video - DEBUG - 🎨 Кадр #15 закодирован: True
2025-06-22 15:23:47,139 - robot_video - DEBUG - 📦 Очередь кадров полная, пропускаем кадр
2025-06-22 15:23:47,139 - robot_video - DEBUG - 🎥 Захватываем кадр #16...
